Ingredient,Pairings,Bad Pairings,Cuisine,Season,Health Insight,Carbs (g),Proteins (g),Vitamins
Apple,"['Rosemary', 'Parmesan', 'Basil']","['Peanut Butter', 'Chocolate']",French,Winter,Good for Heart Health,20,18,"['A', 'C']"
Mushroom,"['Parmesan', 'Honey', 'Basil']","['Banana', 'Cucumber']",Italian,Winter,Rich in Antioxidants,15,18,"['C', 'D']"
Carrot,"['Garlic', 'Olive Oil', 'Ginger']","['Cucumber', 'Coffee']",Chinese,Winter,Good for Heart Health,30,5,"['C', 'D']"
Apple,"['Parmesan', 'Honey', 'Basil']","['Banana', 'Tea']",Japanese,Winter,High in Protein,20,5,"['E', 'C']"
Tomato,"['Garlic', 'Lemon', 'Honey']","['Cucumber', 'Peanut Butter']",Korean,Spring,Good for Heart Health,25,12,"['D', 'A']"
Asparagus,"['Thyme', 'Soy Sauce', 'Olive Oil']","['Chocolate', 'Vinegar']",Chinese,Winter,Good for Heart Health,5,5,"['B', 'C']"
Carrot,"['Soy Sauce', 'Lemon', 'Ginger']","['Tea', 'Vinegar']",Indian,Fall,Good for Heart Health,5,5,"['A', 'D']"
Pumpkin,"['Basil', 'Garlic', 'Soy Sauce']","['Orange', 'Coffee']",Chinese,Spring,Rich in Antioxidants,15,2,"['C', 'E']"
Tomato,"['Garlic', 'Olive Oil', 'Parmesan']","['Tea', 'Cucumber']",Mexican,Spring,Good for Heart Health,5,5,"['E', 'B']"
Pumpkin,"['Parmesan', 'Basil', 'Thyme']","['Vinegar', 'Banana']",Mexican,Summer,High in Protein,30,5,"['D', 'C']"
Apple,"['Soy Sauce', 'Thyme', 'Lemon']","['Milk', 'Tea']",Chinese,Winter,Rich in Antioxidants,10,8,"['C', 'B']"
Tomato,"['Basil', 'Thyme', 'Olive Oil']","['Ketchup', 'Banana']",Mediterranean,Summer,Rich in Antioxidants,5,8,"['E', 'B']"
Brussels Sprouts,"['Lemon', 'Garlic', 'Thyme']","['Cucumber', 'Vinegar']",Italian,Summer,Supports Digestion,25,12,"['A', 'D']"
Carrot,"['Garlic', 'Ginger', 'Basil']","['Orange', 'Peanut Butter']",Mexican,Summer,Boosts Immunity,25,8,"['C', 'A']"
Chicken,"['Lemon', 'Honey', 'Basil']","['Peanut Butter', 'Chocolate']",Chinese,Fall,Good for Heart Health,30,5,"['D', 'B']"
Beef,"['Lemon', 'Basil', 'Ginger']","['Tea', 'Peanut Butter']",American,Fall,Rich in Antioxidants,5,8,"['A', 'B']"
Apple,"['Ginger', 'Basil', 'Soy Sauce']","['Orange', 'Tea']",Korean,Fall,Supports Digestion,15,18,"['B', 'D']"
Pumpkin,"['Ginger', 'Garlic', 'Rosemary']","['Ketchup', 'Orange']",Japanese,Winter,Rich in Antioxidants,30,18,"['K', 'C']"
Mushroom,"['Ginger', 'Garlic', 'Thyme']","['Banana', 'Coffee']",Italian,Winter,Rich in Antioxidants,25,5,"['B', 'E']"
Brussels Sprouts,"['Soy Sauce', 'Olive Oil', 'Lemon']","['Orange', 'Ketchup']",Italian,Winter,Rich in Antioxidants,5,5,"['E', 'K']"
Carrot,"['Garlic', 'Lemon', 'Honey']","['Vinegar', 'Orange']",Japanese,Winter,High in Protein,30,2,"['K', 'B']"
Pumpkin,"['Soy Sauce', 'Parmesan', 'Honey']","['Milk', 'Chocolate']",Indian,Summer,Boosts Immunity,15,15,"['E', 'D']"
Chicken,"['Thyme', 'Basil', 'Garlic']","['Milk', 'Banana']",Italian,Fall,Supports Digestion,20,18,"['C', 'B']"
Beef,"['Basil', 'Garlic', 'Parmesan']","['Coffee', 'Orange']",Japanese,Spring,Good for Heart Health,15,2,"['E', 'K']"
Pumpkin,"['Lemon', 'Thyme', 'Garlic']","['Milk', 'Coffee']",French,Spring,High in Protein,25,2,"['C', 'A']"
Carrot,"['Honey', 'Parmesan', 'Soy Sauce']","['Tea', 'Peanut Butter']",Indian,Summer,Rich in Antioxidants,30,15,"['C', 'A']"
Chicken,"['Olive Oil', 'Ginger', 'Basil']","['Chocolate', 'Orange']",French,Fall,Boosts Immunity,10,18,"['C', 'B']"
Brussels Sprouts,"['Ginger', 'Garlic', 'Parmesan']","['Peanut Butter', 'Chocolate']",French,Winter,High in Protein,5,5,"['B', 'K']"
Brussels Sprouts,"['Parmesan', 'Thyme', 'Ginger']","['Vinegar', 'Banana']",Korean,Fall,Supports Digestion,25,18,"['K', 'C']"
Apple,"['Garlic', 'Parmesan', 'Honey']","['Tea', 'Vinegar']",Japanese,Fall,Supports Digestion,30,18,"['K', 'B']"
Chicken,"['Olive Oil', 'Basil', 'Ginger']","['Orange', 'Tea']",American,Fall,Supports Digestion,5,2,"['D', 'E']"
Carrot,"['Parmesan', 'Honey', 'Olive Oil']","['Cucumber', 'Milk']",Japanese,Summer,Rich in Antioxidants,25,2,"['A', 'K']"
Mushroom,"['Basil', 'Ginger', 'Garlic']","['Milk', 'Cucumber']",American,Spring,High in Protein,5,2,"['K', 'C']"
Salmon,"['Honey', 'Lemon', 'Thyme']","['Vinegar', 'Milk']",Indian,Winter,Rich in Antioxidants,25,18,"['K', 'D']"
Pumpkin,"['Parmesan', 'Honey', 'Thyme']","['Ketchup', 'Banana']",Chinese,Spring,Good for Heart Health,10,8,"['E', 'A']"
Chicken,"['Lemon', 'Thyme', 'Parmesan']","['Cucumber', 'Ketchup']",Indian,Spring,Boosts Immunity,20,8,"['K', 'C']"
Salmon,"['Honey', 'Olive Oil', 'Ginger']","['Vinegar', 'Milk']",American,Winter,Good for Heart Health,25,15,"['D', 'C']"
Salmon,"['Ginger', 'Garlic', 'Honey']","['Orange', 'Cucumber']",Mexican,Summer,High in Protein,30,2,"['C', 'B']"
Brussels Sprouts,"['Thyme', 'Olive Oil', 'Lemon']","['Tea', 'Cucumber']",Thai,Winter,High in Protein,30,8,"['A', 'K']"
Salmon,"['Rosemary', 'Garlic', 'Ginger']","['Milk', 'Vinegar']",American,Summer,Boosts Immunity,30,18,"['D', 'K']"
Salmon,"['Parmesan', 'Ginger', 'Soy Sauce']","['Ketchup', 'Vinegar']",Thai,Winter,Good for Heart Health,15,18,"['E', 'D']"
Brussels Sprouts,"['Garlic', 'Honey', 'Thyme']","['Milk', 'Peanut Butter']",American,Spring,High in Protein,30,5,"['K', 'D']"
Beef,"['Thyme', 'Lemon', 'Honey']","['Coffee', 'Vinegar']",Mediterranean,Spring,Rich in Antioxidants,30,8,"['B', 'D']"
Apple,"['Soy Sauce', 'Parmesan', 'Basil']","['Cucumber', 'Ketchup']",Mexican,Winter,Good for Heart Health,15,5,"['K', 'B']"
Chicken,"['Olive Oil', 'Rosemary', 'Garlic']","['Coffee', 'Peanut Butter']",Japanese,Spring,Supports Digestion,25,2,"['B', 'D']"
Brussels Sprouts,"['Ginger', 'Rosemary', 'Thyme']","['Banana', 'Ketchup']",Korean,Fall,Boosts Immunity,5,8,"['K', 'B']"
Asparagus,"['Garlic', 'Honey', 'Olive Oil']","['Peanut Butter', 'Banana']",Korean,Winter,Boosts Immunity,25,2,"['A', 'D']"
Chicken,"['Garlic', 'Basil', 'Parmesan']","['Tea', 'Orange']",Chinese,Spring,Good for Heart Health,15,8,"['C', 'B']"
Mushroom,"['Lemon', 'Parmesan', 'Garlic']","['Ketchup', 'Peanut Butter']",Italian,Spring,Rich in Antioxidants,10,2,"['C', 'K']"
Salmon,"['Ginger', 'Soy Sauce', 'Honey']","['Peanut Butter', 'Milk']",Chinese,Winter,High in Protein,5,5,"['C', 'B']"
Chicken,"['Ginger', 'Parmesan', 'Lemon']","['Vinegar', 'Coffee']",Japanese,Winter,Boosts Immunity,5,12,"['C', 'D']"
Salmon,"['Basil', 'Rosemary', 'Garlic']","['Cucumber', 'Coffee']",Japanese,Summer,Boosts Immunity,20,15,"['C', 'E']"
Mushroom,"['Parmesan', 'Soy Sauce', 'Thyme']","['Cucumber', 'Banana']",Italian,Summer,Rich in Antioxidants,25,15,"['E', 'K']"
Pumpkin,"['Olive Oil', 'Honey', 'Basil']","['Vinegar', 'Chocolate']",Japanese,Winter,Supports Digestion,15,8,"['B', 'C']"
Brussels Sprouts,"['Parmesan', 'Garlic', 'Basil']","['Chocolate', 'Milk']",Chinese,Winter,Good for Heart Health,20,12,"['B', 'D']"
Salmon,"['Soy Sauce', 'Lemon', 'Parmesan']","['Tea', 'Ketchup']",Indian,Summer,Supports Digestion,5,2,"['B', 'A']"
Brussels Sprouts,"['Parmesan', 'Honey', 'Lemon']","['Vinegar', 'Chocolate']",French,Fall,Boosts Immunity,10,18,"['D', 'K']"
Brussels Sprouts,"['Basil', 'Parmesan', 'Thyme']","['Cucumber', 'Coffee']",Mexican,Winter,Good for Heart Health,5,15,"['D', 'A']"
Beef,"['Soy Sauce', 'Basil', 'Garlic']","['Chocolate', 'Ketchup']",Indian,Spring,Good for Heart Health,25,12,"['A', 'E']"
Asparagus,"['Rosemary', 'Basil', 'Honey']","['Tea', 'Orange']",Korean,Summer,Good for Heart Health,30,5,"['A', 'D']"
Tomato,"['Parmesan', 'Ginger', 'Olive Oil']","['Milk', 'Vinegar']",Japanese,Summer,Rich in Antioxidants,15,8,"['C', 'K']"
Salmon,"['Ginger', 'Honey', 'Garlic']","['Peanut Butter', 'Banana']",Mexican,Spring,Rich in Antioxidants,30,18,"['E', 'D']"
Tomato,"['Olive Oil', 'Soy Sauce', 'Parmesan']","['Chocolate', 'Banana']",Italian,Winter,Rich in Antioxidants,15,5,"['B', 'D']"
Mushroom,"['Ginger', 'Rosemary', 'Lemon']","['Orange', 'Cucumber']",Italian,Fall,Good for Heart Health,25,12,"['D', 'A']"
Apple,"['Garlic', 'Rosemary', 'Thyme']","['Chocolate', 'Coffee']",Italian,Spring,Boosts Immunity,30,2,"['K', 'D']"
Apple,"['Basil', 'Olive Oil', 'Parmesan']","['Coffee', 'Ketchup']",Italian,Spring,Boosts Immunity,25,8,"['D', 'A']"
Carrot,"['Parmesan', 'Garlic', 'Rosemary']","['Ketchup', 'Coffee']",Mediterranean,Winter,Good for Heart Health,15,12,"['K', 'E']"
Brussels Sprouts,"['Basil', 'Lemon', 'Honey']","['Banana', 'Peanut Butter']",Italian,Spring,Rich in Antioxidants,10,2,"['K', 'D']"
Salmon,"['Garlic', 'Ginger', 'Olive Oil']","['Tea', 'Cucumber']",Italian,Winter,High in Protein,15,12,"['A', 'K']"
Mushroom,"['Parmesan', 'Lemon', 'Honey']","['Vinegar', 'Orange']",Korean,Winter,Boosts Immunity,15,12,"['D', 'C']"
Mushroom,"['Basil', 'Lemon', 'Garlic']","['Vinegar', 'Orange']",American,Fall,Boosts Immunity,30,8,"['D', 'C']"
Tomato,"['Ginger', 'Olive Oil', 'Lemon']","['Vinegar', 'Orange']",Mexican,Fall,High in Protein,15,15,"['K', 'B']"
Salmon,"['Soy Sauce', 'Honey', 'Thyme']","['Banana', 'Ketchup']",Japanese,Winter,Good for Heart Health,25,18,"['K', 'A']"
Asparagus,"['Rosemary', 'Ginger', 'Thyme']","['Chocolate', 'Coffee']",Indian,Fall,High in Protein,10,2,"['E', 'B']"
Pumpkin,"['Thyme', 'Ginger', 'Lemon']","['Chocolate', 'Tea']",Mediterranean,Fall,Supports Digestion,5,12,"['B', 'K']"
Carrot,"['Lemon', 'Olive Oil', 'Garlic']","['Milk', 'Tea']",Thai,Fall,High in Protein,20,2,"['A', 'C']"
Chicken,"['Rosemary', 'Basil', 'Olive Oil']","['Chocolate', 'Vinegar']",Indian,Summer,Rich in Antioxidants,20,15,"['C', 'D']"
Carrot,"['Garlic', 'Thyme', 'Soy Sauce']","['Chocolate', 'Ketchup']",Japanese,Summer,High in Protein,15,18,"['K', 'E']"
Mushroom,"['Soy Sauce', 'Lemon', 'Rosemary']","['Milk', 'Vinegar']",Japanese,Spring,Rich in Antioxidants,15,15,"['E', 'D']"
Asparagus,"['Basil', 'Thyme', 'Rosemary']","['Peanut Butter', 'Tea']",Korean,Summer,High in Protein,20,8,"['E', 'B']"
Beef,"['Soy Sauce', 'Honey', 'Garlic']","['Vinegar', 'Milk']",Chinese,Fall,High in Protein,30,8,"['D', 'B']"
